Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
18 mar 2016;528,96;541,57;
19 mar 2016;528,89;541,44;
20 mar 2016;528,89;541,44;
21 mar 2016;528,89;541,44;
22 mar 2016;528,95;541,43;
23 mar 2016;528,86;541,45;
24 mar 2016;528,70;541,45;
25 mar 2016;528,70;541,45;
26 mar 2016;528,70;541,45;
27 mar 2016;528,70;541,45;
28 mar 2016;528,70;541,45;
29 mar 2016;528,70;541,36;
30 mar 2016;528,77;541,59;
31 mar 2016;529,59;542,23;
1 abr 2016;529,61;542,17;
2 abr 2016;529,64;542,23;
3 abr 2016;529,64;542,23;
4 abr 2016;529,64;542,23;
5 abr 2016;529,98;542,44;
6 abr 2016;530,30;542,81;
7 abr 2016;530,27;542,80;
8 abr 2016;530,27;542,76;
9 abr 2016;530,20;542,72;
10 abr 2016;530,20;542,72;
11 abr 2016;530,20;542,72;
12 abr 2016;530,20;542,72;
13 abr 2016;530,10;542,55;
14 abr 2016;529,62;542,10;
15 abr 2016;529,43;541,79;
16 abr 2016;529,15;541,62;
17 abr 2016;529,15;541,62;
18 abr 2016;529,15;541,62;
19 abr 2016;529,09;541,63;
20 abr 2016;529,33;541,83;
21 abr 2016;529,33;541,87;
22 abr 2016;529,26;541,86;
23 abr 2016;529,23;541,83;
24 abr 2016;529,23;541,83;
25 abr 2016;529,23;541,83;
26 abr 2016;529,33;541,83;
27 abr 2016;530,01;542,65;
28 abr 2016;530,84;543,48;
29 abr 2016;531,00;543,62;
30 abr 2016;531,49;544,03;
1 may 2016;531,49;544,03;
2 may 2016;531,49;544,03;
3 may 2016;531,40;543,95;
4 may 2016;531,19;543,73;
5 may 2016;531,20;543,71;
6 may 2016;531,17;543,69;
7 may 2016;531,14;543,65;
8 may 2016;531,14;543,65;
9 may 2016;531,14;543,65;
10 may 2016;531,18;543,61;
11 may 2016;531,15;543,65;
12 may 2016;531,03;543,48;
13 may 2016;530,81;543,30;
14 may 2016;530,77;543,34;
15 may 2016;530,77;543,34;
16 may 2016;530,77;543,34;
17 may 2016;530,76;543,21;
18 may 2016;530,83;543,38;
19 may 2016;531,07;543,64;
20 may 2016;531,09;543,63;
21 may 2016;531,02;543,65;
22 may 2016;531,02;543,65;
23 may 2016;531,02;543,65;
24 may 2016;531,32;543,86;
25 may 2016;531,67;544,39;
26 may 2016;532,04;544,60;
27 may 2016;531,85;544,36;
28 may 2016;531,69;544,17;
29 may 2016;531,69;544,17;
30 may 2016;531,69;544,17;
31 may 2016;532,25;544,26;
1 jun 2016;531,98;544,50;
2 jun 2016;532,14;544,71;
3 jun 2016;532,51;544,99;
4 jun 2016;534,33;546,81;
5 jun 2016;534,33;546,81;
6 jun 2016;534,33;546,81;
7 jun 2016;535,27;547,42;
8 jun 2016;535,88;548,09;
9 jun 2016;535,90;548,12;
10 jun 2016;536,42;548,88;
